"PROVINCE","FED_CODE","FED_NAME","VOTE_COUNT_Liberal","VOTE_COUNT_Conservative","VOTE_COUNT_Bloc","VOTE_COUNT_NDP","VOTE_COUNT_Green","VOTE_COUNT_Other","VOTE_PCT_Liberal","VOTE_PCT_Conservative","VOTE_PCT_Bloc","VOTE_PCT_NDP","VOTE_PCT_Green","VOTE_PCT_Other","WINNER"
"British Columbia",59036,"Vancouver East",20287,10162,0,24945,1099,658,0.35497191650189847,0.17780966212314744,0,0.4364753022694266,0.01922975975923431,0.011513359346293153,"NDP"
"British Columbia",59037,"Vancouver Fraserview—South Burnaby",27117,18500,0,5088,658,482,0.5230398302632848,0.3568328672003086,0,0.09813868261163082,0.012691677114475842,0.009296942810299932,"Liberal"
"British Columbia",59038,"Vancouver Granville",37010,17133,0,4489,945,0,0.6212128841667086,0.28757742081675813,0,0.0753478691441328,0.015861825872400422,0,"Liberal"
"British Columbia",59039,"Vancouver Kingsway",18485,12352,0,18788,499,322,0.36643143162986164,0.24485588550132814,0,0.3724378543392935,0.009891765452166672,0.006383063077350037,"NDP"
"British Columbia",59040,"Vancouver Quadra",35384,17008,0,2391,1032,182,0.6318909941604014,0.3037305569941247,0,0.042698716002643,0.018429558726360342,0.0032501741164705253,"Liberal"
"British Columbia",59041,"Vernon—Lake Country—Monashee",28769,33850,0,3417,1105,0,0.4284863198343784,0.5041628811009666,0,0.050892897037577635,0.016457902027077344,0,"Conservative"
"British Columbia",59042,"Victoria",41128,12870,0,18877,2350,543,0.5428149086685672,0.16986062717770034,0,0.24914211804455708,0.03101573223524443,0.007166613873930947,"Liberal"
"British Columbia",59043,"West Vancouver—Sunshine Coast—Sea to Sky Country",38384,21181,0,2070,2205,407,0.597444238641493,0.32968076330412316,0,0.03221940324061824,0.03432066866935421,0.006334926144411412,"Liberal"
"Yukon",60001,"Yukon",12009,8719,0,1434,474,0,0.5305265948047359,0.3851828945043294,0,0.06335041526771515,0.02094009542321965,0,"Liberal"
"Northwest Territories",61001,"Northwest Territories",8855,5513,0,2011,170,0,0.5350776481962657,0.33313191129373376,0,0.12151791649042239,0.010272524019578223,0,"Liberal"
"Nunavut",62001,"Nunavut",2812,1992,0,2853,0,0,0.36724565756823824,0.26015410735274913,0,0.3726002350790127,0,0,"NDP"
